tokeniser_type,delta,vocab_size,compression_rate
ScribeTokens,32,5000,3.9850715742141967
ScribeTokens,32,10000,4.17474571253231
ScribeTokens,32,15000,4.271818473347524
ScribeTokens,32,20000,4.333670700705984
ScribeTokens,32,25000,4.376593601916626
ScribeTokens,32,30000,4.410851571612457
ScribeTokens,32,35000,4.431756191518049
ScribeTokens,32,40000,4.445272152492947
ScribeTokens,32,45000,4.458384690244974
ScribeTokens,32,50000,4.471202497040374
ScribeTokens,32,55000,4.483781332456294
ScribeTokens,32,60000,4.495390273927236
ScribeTokens,32,65000,4.504304237796487
ScribeTokens,32,70000,4.512481427716627
ScribeTokens,32,75000,4.520623623029929
ScribeTokens,32,80000,4.527256191090935
ScribeTokens,32,85000,4.532673799878274
ScribeTokens,32,90000,4.538209717136353
ScribeTokens,32,95000,4.543034213618184
ScribeTokens,32,100000,4.547650497666427
TextTokens,1,5000,0.868405888141404
TextTokens,1,10000,0.9252532692150252
TextTokens,1,15000,0.9494630824382478
TextTokens,1,20000,0.9642311586087373
TextTokens,1,25000,0.9761174525533155
TextTokens,1,30000,0.9861228849136399
TextTokens,1,35000,0.9949551350641955
TextTokens,1,40000,1.002720066418548
TextTokens,1,45000,1.010112491015617
TextTokens,1,50000,1.0162934373105055
TextTokens,1,55000,1.0231927037452977
TextTokens,1,60000,1.029010065580056
TextTokens,1,65000,1.0336217499432874
TextTokens,1,70000,1.0392072395764083
TextTokens,1,75000,1.0446671436645072
TextTokens,1,80000,1.0495135111920602
TextTokens,1,85000,1.05372204557842
TextTokens,1,90000,1.0567017502289435
TextTokens,1,95000,1.0608968126975116
TextTokens,1,100000,1.0653026749352044
TextTokens,2,5000,0.992311059400911
TextTokens,2,10000,1.0747015369964057
TextTokens,2,15000,1.1264122993207315
TextTokens,2,20000,1.16450914791413
TextTokens,2,25000,1.194451960638443
TextTokens,2,30000,1.2186209802130177
TextTokens,2,35000,1.2389735270186193
TextTokens,2,40000,1.2560809923553666
TextTokens,2,45000,1.2708867533068007
TextTokens,2,50000,1.2843061985209672
TextTokens,2,55000,1.2953986758589946
TextTokens,2,60000,1.3067948677503913
TextTokens,2,65000,1.3157033106080254
TextTokens,2,70000,1.3246303149161034
TextTokens,2,75000,1.3328094148587466
TextTokens,2,80000,1.3387393100232912
TextTokens,2,85000,1.3450331199266659
TextTokens,2,90000,1.35135354188571
TextTokens,2,95000,1.3575567730504596
TextTokens,2,100000,1.363556646975282
TextTokens,4,5000,1.3179473665068162
TextTokens,4,10000,1.4222499099429426
TextTokens,4,15000,1.4809255778174653
TextTokens,4,20000,1.5221250608960097
TextTokens,4,25000,1.5544776709973605
TextTokens,4,30000,1.5800650354664953
TextTokens,4,35000,1.601847531233351
TextTokens,4,40000,1.620693680406497
TextTokens,4,45000,1.637707056892878
TextTokens,4,50000,1.6515704947405343
TextTokens,4,55000,1.665099552116538
TextTokens,4,60000,1.6758852645891706
TextTokens,4,65000,1.6861549867733692
TextTokens,4,70000,1.69571069599968
TextTokens,4,75000,1.7048132675977585
TextTokens,4,80000,1.7131364752802003
TextTokens,4,85000,1.7188687674339915
TextTokens,4,90000,1.7249422516595756
TextTokens,4,95000,1.7314764992077196
TextTokens,4,100000,1.7373764331689519
TextTokens,8,5000,1.710721462144448
TextTokens,8,10000,1.852126626999119
TextTokens,8,15000,1.9360380803050894
TextTokens,8,20000,1.994161554710917
TextTokens,8,25000,2.037867531217706
TextTokens,8,30000,2.073115827739951
TextTokens,8,35000,2.101726955237815
TextTokens,8,40000,2.1253825587449215
TextTokens,8,45000,2.1474486046356915
TextTokens,8,50000,2.1636581791652567
TextTokens,8,55000,2.1801816757685493
TextTokens,8,60000,2.1948548679334743
TextTokens,8,65000,2.2059325679053
TextTokens,8,70000,2.215706629752858
TextTokens,8,75000,2.2262335454505218
TextTokens,8,80000,2.2363144682606966
TextTokens,8,85000,2.245904880478006
TextTokens,8,90000,2.2548542073357654
TextTokens,8,95000,2.262674367869292
TextTokens,8,100000,2.2704571834315894
TextTokens,16,5000,2.2929141793962855
TextTokens,16,10000,2.4752918404904998
TextTokens,16,15000,2.574491446641497
