epoch,dataset,run,val_epoch_ce,val_epoch_nll
18,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.032402627608356,
19,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.026360133114983,
20,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.022043831208173,
21,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.014237081303316,
22,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.021865606307983,
23,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.01751233549679,
24,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.011009651071885,
25,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.003643176134895,
26,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.006953197367051,
27,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",5.001031693290262,
28,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.99615722544053,
29,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.993851633632884,
30,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.991448907291188,
31,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.988831155440387,
32,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.986373719047098,
33,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.985600289176492,
34,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.987849768470316,
35,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.985139832777135,
36,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.984825793434592,
37,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.980458273607142,
38,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.976972201291253,
39,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.97684383392334,
40,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.9726462504443,
41,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.972516957451315,
42,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.9678769251879515,
43,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.967272940803976,
44,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.964349017423742,
45,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.957305992350859,
46,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.9610040608574355,
47,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.955799439374139,
48,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.951361894607544,
49,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.954746442682603,
50,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.955972180647009,
51,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.951157682082233,
52,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.947272707434261,
53,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.943290878744686,
54,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.945660955765668,
55,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.9450762692619765,
56,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.944945784176097,
57,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.940804944318884,
58,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.941211616291719,
59,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.93874387180104,
60,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.932433829588049,
61,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.942725476096658,
62,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.931841822231517,
63,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.938637312720804,
64,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.9331810193903305,
65,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.926968364154591,
66,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.930163467631621,
67,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.927291407304652,
68,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.92560533916249,
69,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.923726011725033,
70,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.925178836373722,
71,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.927718541201423,
72,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.922803808661068,
73,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.9282898482154405,
74,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.92711054577547,
75,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.917501028846292,
76,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.921220695271211,
77,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.926581887637868,
78,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.918583477244658,
79,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.917312089134665,
80,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.922797960393569,
81,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.928318977355957,
82,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.91840983839596,
83,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.920256109798656,
84,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.921596513074987,
85,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.920356203528011,
86,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.916049620684455,
87,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.911655454074635,
88,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.913861400940839,
89,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.918107201071346,
90,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.924484112683465,
91,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.91411286241868,
92,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.914861454683192,
93,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.9125726643730605,
94,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.920453534406774,
95,iam,"Task: HTG_SFT, Repr: TextTokens-8 (vocab_size: 32000)",4.911802081500783,
